Product URL,ASIN,Manufacturer,Product Name,Product Description,Product Price,Rating,Number of reviews
https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNjg3MDE3ODMyOTI1MDkwOjE2ODUxMjQwNjE6c3BfYXRmOjIwMTE2ODgyMTgxMDk4OjowOjo&url=%2FRed-Lemon-Unisex-adult-Waterproof-Charging%2Fdp%2FB09VGNTDRZ%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685124061%26sprefix%3Dba%252Caps%252C283%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,B09VGNTDRZ,Red Lemon,Red Lemon Unisex-adult Bange Series Rhombus Shell Design Waterproof Sling Bag with USB Charging,"Closure: Zipper    PREMIUM MATERIAL: This stylish chest bag is made of waterproof TPU material. Comes in a shell structure with a front Rhombus design.    ORGANIZED DESIGN: Spaced compartment with one separate soft sleeve to hold iPad, phone, or notebook. Spacious enough to store accessories like a camera or short trip essentials. Multiple organized pockets to hold money wallet, power bank, mobile, charger, pens, cable, etc. Soft adjustable single shoulder strap to relieve the stress of shoulder. A strong sturdy handle to carry the bag with ease.    USB FEATURE: External USB port with built-in charging cable enables convenient charging by connecting your power bank with your electronic devices.    DIMENSIONS: 19 cms x 16 cms x 33 cms (LxWxH). The weight of the bag is 0.48 KG.    Outer Material Type: Synthetic","₹1,999",4.4 out of 5 stars,73 ratings
https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNjg3MDE3ODMyOTI1MDkwOjE2ODUxMjQwNjE6c3BfYXRmOjIwMTE2ODc5MTY5OTk4OjowOjo&url=%2FRed-Lemon-Multifunctional-Waterproof-Anti-Thief%2Fdp%2FB0B12VF374%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685124061%26sprefix%3Dba%252Caps%252C283%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,B0B1,Red Lemon,Red Lemon BANGE Multifunctional Waterproof Anti-Thief Sling Bag with USB Charging (Blue),"➧ PREMIUM MATERIAL: This multifunctional sling bag is made of high quality water resistant and scratchproof polyester material. The hardware such as zippers, pullers are wear resistant, smooth, of premium quality and durable.    ➧CONVENIENT STORAGE: Graceful curved design with a professional look and pure texture. A well arranged spaced compartment with soft sleeve to carry a Tablet, iPad. Spacious enough to store office accesories, mobile, charger, headphones, pens,wallet etc. One hidden pocket at the side to fit waterbottle or folding umbrella. Back pocket to hold money, cards, wallet. Adjustable shoulder straps for better handling. Hidden cards pocket on the strap. Comfortable sturdy handle to easy carry.    ➧ ANTI- THEFT LOCK: A built-in anti theft password lock for added level of security.    ➧ USB FEATURE : External USB port with built-in charging cable enables convenient charging by connecting your power bank with your electronic devices.    ➧ SIZE & COMFORT : Dimensions: 18cms x 10 cms x 34 cms (LxWxH). Capacity: 6 Lit Weight : 0.46 Kg. This single shoulder unisex sling bag is perfect to be carried for travel and office. Honeycomb anti sweat design for better air permeability. Ergonomics design with soft padding for maximum back support.","₹1,899.00",4.3 out of 5 stars,146 ratings
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1685124061&sprefix=ba%2Caps%2C283&sr=8-3,,Wesley,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),"30L Capacity: The Backpack has a padded laptop compartment that can fit 15.6 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass.    Multi-Level Organizer: The backpack has a front zipper pocket for the ID card, Sanitizer, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band. Spacious second compartment for all your electronics.    Ergonomic Design: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body.    Made In India: Wesley Business Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks    1 Year Warranty: The Wesley Business casual backpack comes with 1 year of warranty    Water Resistant Material: Advanced IPX4 coating on the material ensures resistance to water entering from any direction.    
› See more product details",₹598.00,4.3 out of 5 stars,"10,944 ratings"
https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1685124061&sprefix=ba%2Caps%2C283&sr=8-4,,American Tourister,American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),"Laptop Compatibility: No, Strap Type: Adjustable, Trolley Support: No. With Rain Cover : No    Outer Material: Polyester, Color: Black    Water Resistance: Water resistant , not Waterproof    Capacity: 32 liters; Dimensions: 31.5 x 22 x 49.5 Centimeters    Number of Wheels: 0, Number of compartments: 3    Warranty type: Manufacturer; 1 year International warranty valid for 1 year from the original date of    Mesh pockets on both sides to accommodate your sipper or bottle and umbrella    Mesh Padding on back & shoulder strap to provide comfort & better back support","₹1,199.00",4.0 out of 5 stars,"54,226 ratings"
https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1685124061&sprefix=ba%2Caps%2C283&sr=8-5,,Skybags,Skybags Brat Black 46 Cms Casual Backpack,"Combination of functional & safety features in stylish design, Soft mesh back with 8 mm foam padded 2 Main Compartment, 1 Slip In Pocket inside the bag, Printed Design, Mesh bottle holder on the side,    Water Resistance Level: Not Water Resistant    Size: 35 x 13 x 46 cms",₹669,4.1 out of 5 stars,"4,558 ratings"
https://www.amazon.in/School-Backpack-Cartoon-Travel-Toddler/dp/B08WWG91Q3/ref=sxin_15_trfob_0_B08WWG91Q3?content-id=amzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26%3Aamzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08WWG91Q3&pd_rd_r=35cf5062-c0d9-4162-91ed-d8057ef21acb&pd_rd_w=8eOFc&pd_rd_wg=yC71R&pf_rd_p=aa46410f-8156-4270-bbdf-247d793e0b26&pf_rd_r=CCSKCF0SETJ2J2D29J8D&qid=1685124061&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-1-cc7a04fe-cc55-42ad-b883-1b910070c86a,,Blue Tree,Blue Tree Kids School Bag Soft Plush Backpack Combo Cartoon Bags Mini Travel Bag for for Girls Boys Toddler Baby (Pack of 2),"DIMENSION: 15 X 3.5 X 12 Inches / 38 X 8 X 30 Cm (WxLxH) | Weight: 0.32 Kg/ 0.7 Lb | Front Pocket: 12 X 9 Inch / 30 X 23 Cm (WxH) | Soft Adjustable & Breathable Shoulder Straps: 8-20.8 Inch / 20-53 Cm.    DESIGN: Made Of Super Soft Plush Material And High Quality Smooth Zipper Accessories. Small Backpack Suitable For Toddler Baby Kids Girl And Boy Between 1-6 Years Old.    PRODUCT MATERIAL: Made With High Quality Non-Toxic Soft Plush Material. Lightweight But Tear Resistant For Little Kids To Carry, Easy To Clean, Strong & Durable. It Has Sturdy, Non-Slip, And Comfortable Top Loop Handle As Well As Adjustable Straps At Its Back. Very Safe, Practical And Comfortable For Kids.    USAGE: This Kids Backpack Bag Is Perfect For School Bag, Travelling Bag, Carry Bag, Picnic Bag, Teddy Bag. Enough Space For Children's Stuffs Like Toys, Foods, Napkin, Fruits, Small Books, Pencils And Other Daily Items.    GREAT GIFT: Cute And Cool Animal Toddler School Backpacks, Great Gift For Kids With Lovely Animal Attractive Design, Perfect For Children Going Out For Travel, Preschool And Daycare Center.    
› See more product details",₹448.00,4.0 out of 5 stars,4 ratings
https://www.amazon.in/MosQuick%C2%AE-Drawstring-Organizing-Stationery-multipurpose/dp/B09SB42QFQ/ref=sxin_15_trfob_1_B09SB42QFQ?content-id=amzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26%3Aamzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09SB42QFQ&pd_rd_r=35cf5062-c0d9-4162-91ed-d8057ef21acb&pd_rd_w=8eOFc&pd_rd_wg=yC71R&pf_rd_p=aa46410f-8156-4270-bbdf-247d793e0b26&pf_rd_r=CCSKCF0SETJ2J2D29J8D&qid=1685124061&sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-2-cc7a04fe-cc55-42ad-b883-1b910070c86a,,,"MosQuick® Clear large Drawstring Bags Clear Plastic Travel Bags, Travel Garments Organizing Storage Plastic Bags ,Shoe bags , Stationery Bag,multipurpose bag - Translucent","MULTIPLE USAGE: Drawstring plastic bag is designed in a way to be useful for many functions. Use it as drawstring shoe bag, clear gift bags for favors, traveling. Pack everything in clear plastic bags (packing toys, stationery, shoes, clothes, cosmetics) and keep it safely and comfortably!    PLASTIC TRAVEL BAGS: Travel shoe bags for packing are unprinted and feature impressive durability, so you can use clear drawstring bag as main means of storing for personal and business purposes.    HIGH QUALITY MATERIAL- The PE storage bags are made of high quality Chlorinated Polyethylene (CPE) sheet which is famed for its good features . the translucent feature helps us to easily view what is inside the bag    KEY FEATURES- Package Includes 2 Pcs Travel Plastic Bags , the quality drawstring plastic bags have flat edges with a 16"" height and 11"" width plus an extra 2"" bottom gusset.it has 2 cotton strings to pull and secure the bag and the contents.    CONVENIENT TO USE- Each drawstring bag comes with two flat satin drawstrings on both ends, making the bags open or close conveniently,and you can also be easy to carry your items in them with the strings.",₹294,4.2 out of 5 stars,58 ratings
https://www.amazon.in/Backpack-Toddler-Animal-Cartoon-Travel/dp/B09H3H3898/ref=sxin_15_trfob_2_B09H3H3898?content-id=amzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26%3Aamzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09H3H3898&pd_rd_r=35cf5062-c0d9-4162-91ed-d8057ef21acb&pd_rd_w=8eOFc&pd_rd_wg=yC71R&pf_rd_p=aa46410f-8156-4270-bbdf-247d793e0b26&pf_rd_r=CCSKCF0SETJ2J2D29J8D&qid=1685124061&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-3-cc7a04fe-cc55-42ad-b883-1b910070c86a,,Blue Tree,blue tree 10 ltrs (5 Cms)Backpack(Rider01_Yellow),"?DIMENSION:15x3.5x12inch/38x8x30cm(WxDxH).Weight:0.32kg/0.7lb. Front Pocket:12x9inch/30x23cm(WxH) Soft adjustable & breathable shoulder straps:8inch-20.8inch/20cm-53cm. <br>    ? CUTE DESIGN:Made of super soft plush material and high quality smooth zipper accessories. Small backpack suitable for toddler baby kids girl and boy between 1-6 years old. <br>    ? SPACIOUS:The toddler backpack presents a main compartment with cotton interior, which is large capacity and long-lasting. Perfectly for keeping and organizing books, toys, pencils and snacks, etc. With the matching pullers and smooth zippers, children could open and close the backpack easily. The front pocket is for keeping the small stuffs easy to reach. <br>    ? Material:Non-Toxic And Soft Fabric good quality and Washable Soft And Cuddly Filling, Made By India And Embroidery Bag; ? Great Gift:Cute and Cool animal toddler school backpacks, Great Gift for kids with Lovely animal attractive design, Perfect for children going out for travel, preschool and Daycare center. <br>    Closure Type: Buckle <br>    
› See more product details",₹298.00,4.1 out of 5 stars,85 ratings
https://www.amazon.in/Blue-Tree-Velvet-Nursery-Travelling/dp/B07XJHP2C7/ref=sxin_15_trfob_3_B07XJHP2C7?content-id=amzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26%3Aamzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B07XJHP2C7&pd_rd_r=35cf5062-c0d9-4162-91ed-d8057ef21acb&pd_rd_w=8eOFc&pd_rd_wg=yC71R&pf_rd_p=aa46410f-8156-4270-bbdf-247d793e0b26&pf_rd_r=CCSKCF0SETJ2J2D29J8D&qid=1685124061&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-4-cc7a04fe-cc55-42ad-b883-1b910070c86a,,Blue Tree,Blue Tree Velvet Kids School/Nursery/Picnic/Carry/Travelling Bag - 2 to 5 Age (Yellow_Blue School Bag),"Non-Toxic and Soft Fabric Made from Safe Materials to be used by Kids.; Soft And Cuddly Filling Printed work<br> <br>    Premium quality light Weight MINIONS bag especially for Kindergarten boys and girls baby. Suitable for 2 to 5 Years Kids.<br> <br>    Adjustable strap and enough space for children's things like toys, lunch box, fruits, small books, pencil box and other stationery items<br> <br>    Very Attractive To Make You Have A Good Feeling All The Time, Gift this soft, smooth and cuddly teddy as a great gift to your loved one<br>; Closure Type: Zipper; Special Features: Lightweight <br>    Water Resistance Level: Water Resistant <br>    
› See more product details",₹298.00,4.1 out of 5 stars,"1,519 ratings"
https://www.amazon.in/Amazon-Brand-Canvas-printed-stylish/dp/B0BX3PW42J/ref=sxin_15_trfob_4_B0BX3PW42J?content-id=amzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26%3Aamzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B0BX3PW42J&pd_rd_r=35cf5062-c0d9-4162-91ed-d8057ef21acb&pd_rd_w=8eOFc&pd_rd_wg=yC71R&pf_rd_p=aa46410f-8156-4270-bbdf-247d793e0b26&pf_rd_r=CCSKCF0SETJ2J2D29J8D&qid=1685124061&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-5-cc7a04fe-cc55-42ad-b883-1b910070c86a,,Amazon Brand - Eono,"Amazon Brand – Eono Canvas Tote Bag For Women - (Pack of 1), women tote bag, canvas tote bag, printed tote bag, printed canvas tote bag, stylish bags for women T9","Printed Canvas tote bag for Women    Outer material: canvas, inner material: Satin    Size- 15x16 inches    Strap type: double handle, closure type: Zipper    1 big compartmnet with 1 inner pocket",₹349.00,4.5 out of 5 stars,2 ratings
